Spice/Herb name	Positive references	Negative references
Garlic	782.0	40.0
Ginkgo	554.0	25.0
Turmeric	515.0	6.0
Ginger	505.0	3.0
Liquorice	271.0	123.0
Black cumin	179.0	7.0
Ceylon cinnmaon	154.0	17.0
Saffron	153.0	4.0
Fenugreek	133.0	8.0
Safflower	121.0	8.0
Sesame	105.0	17.0
Chinese cinnamon	102.0	5.0
Rosemary	97.0	6.0
Sunflower	69.0	20.0
Peppermint	78.0	7.0
Avocado leaf	62.0	11.0
Clove	60.0	12.0
Garden thyme	56.0	6.0
Mugwort	9.0	49.0
Evening primerose	57.0	0.0
Common chamomile	52.0	5.0
Celery	30.0	27.0
Flax	51.0	5.0
Chilli pepper	36.0	17.0
Common oregano	52.0	0.0
Holy basil	50.0	0.0
Bell pepper	37.0	10.0
Black pepper	41.0	3.0
Lemon balm	42.0	0.0
Fennel	35.0	6.0
Common lavender	40.0	1.0
Red sorrel	39.0	2.0
Chicory	37.0	3.0
Jiaogulan	36.0	0.0
Coriander	32.0	3.0
Borage	33.0	1.0
Ajowan	32.0	0.0
Absinthium	27.0	4.0
Long pepper	30.0	0.0
Basil	29.0	0.0
Dandelion	25.0	3.0
Lemon grass	26.0	2.0
Common purslane	28.0	0.0
European barberry	27.0	0.0
Mastic	26.0	0.0
Tanner sumac	21.0	5.0
Watercress	16.0	10.0
Curry leaf	26.0	0.0
Nutmeg	22.0	4.0
Cumin	23.0	0.0
Aniseed	18.0	4.0
German chamomile	20.0	1.0
Common sage	21.0	0.0
Green cardamom	19.0	2.0
Beafsteak plant	19.0	1.0
Juniper	16.0	3.0
Asafoetida	19.0	0.0
Fish mint	17.0	0.0
Westen yarrow	14.0	2.0
Zedoary	15.0	0.0
Star anise	11.0	3.0
Common rue	11.0	3.0
Quinoa	8.0	5.0
Caper	12.0	1.0
Achiote	11.0	2.0
Bay laurel	8.0	5.0
Spearmint	13.0	0.0
Wasabi	12.0	0.0
Brazilian pepper tree	11.0	0.0
Chia seed	10.0	1.0
Spikenard	11.0	0.0
Lemon verbena	11.0	0.0
Indian borage	9.0	1.0
Kencur	10.0	0.0
Marjoram	10.0	0.0
Guinea pepper	10.0	0.0
Wormseed	10.0	0.0
Parsely	9.0	1.0
Lesser galangal	9.0	0.0
Greater galangal	9.0	0.0
Kokum	9.0	0.0
Szechuan pepper	8.0	0.0
Tarragon	8.0	0.0
Ashitaba	7.0	0.0
Catnip	6.0	1.0
Checkerberry	3.0	3.0
Babasu oil	6.0	0.0
Welsh onion	6.0	0.0
Caraway	6.0	0.0
Indian bay	6.0	0.0
Quassia	6.0	0.0
Dill seed	6.0	0.0
Melegueta pepper	6.0	0.0
Horseradish	5.0	0.0
Breadseed poppies	5.0	0.0
California bay laurel	3.0	2.0
Fireweed	5.0	0.0
Hyssop	3.0	2.0
Summer savory	5.0	0.0
Corn mint	5.0	0.0
Allspice	4.0	0.0
Alkanet	4.0	0.0
Clary sage	4.0	0.0
Chive	3.0	1.0
Garlic chives	4.0	0.0
Black mustard	2.0	2.0
Mexican marigold	4.0	0.0
Willow herb	4.0	0.0
Water mint	3.0	0.0
Alligator pepper	3.0	0.0
Cinnamon myrtle	3.0	0.0
Boldo	3.0	0.0
Fingerroot	3.0	0.0
Sassafras	3.0	0.0
Common verbena	3.0	0.0
Alfalfa	3.0	0.0
White mustard	2.0	0.0
Pandan flower	2.0	0.0
Long coriander	2.0	0.0
Persian cow parsley	2.0	0.0
Cubeb pepper	2.0	0.0
Wild thyme	2.0	0.0
Brown mustard	2.0	0.0
Shea butter	2.0	0.0
Oil seed camellia	2.0	0.0
Black cumin	2.0	0.0
Sago palm	0.0	2.0
Sheep's sorrel	2.0	0.0
Spotted orchis	2.0	0.0
Water pepper	2.0	0.0
Black cardamom	1.0	0.0
Korarima	1.0	0.0
Red torch ginger	1.0	0.0
Mexican oregano	1.0	0.0
Mountain pepper	1.0	0.0
Musk okra	1.0	0.0
Pot marjoram	1.0	0.0
Pineapple sage	1.0	0.0
Saigon cinnamon	1.0	0.0
Salad burnet	1.0	0.0
Pandan leaf	1.0	0.0
Curry plant	1.0	0.0
Linden	1.0	0.0
Indonesian cinnamon	1.0	0.0
Locoto	1.0	0.0
Yellow water lily	1.0	0.0
Lemon myrtle	1.0	0.0
Herb bennet	1.0	0.0
Peruvian pepper	1.0	0.0
Vanilla	1.0	0.0
Winter savory	1.0	0.0
Kawakawa seed	0.0	1.0
